,AD,CIT,SW
SCZ_1,0.002162951,0.016348075,-0.00175869
SCZ_2,0.001173151,0.016284589,0.000395166
SCZ_3,0.000521993,0.01501387,-0.004502324
SCZ_4,-0.000299423,0.014445484,-0.003541547
SCZ_5,-0.002065945,0.012983989,-0.003645821
SCZ_6,-0.000115335,0.018853118,-0.001513085
SCZ_7,0.00250213,0.015007544,-0.000856572
SCZ_8,-0.002285545,0.011977281,-0.002283309
SCZ_9,7.46E-05,0.01507835,0.004056154
SCZ_10,-0.002817421,0.016060637,-0.001168631
SCZ_11,0.003112697,0.011136038,0.004615874
SCZ_12,-6.02E-05,0.009606964,-0.000519188
SCZ_13,0.003385004,0.006719854,0.010126352
SCZ_14,0.01521179,0.003082989,0.004352254
SCZ_15,0.013129995,0.013394341,0.003347316
SCZ_16,-0.000195344,0.002232869,0.033017047
SCZ_17,0.009825575,0.0082026,-0.00108875
SCZ_18,0.008210152,0.021654747,0.001897831
SCZ_19,0.006902521,0.011912099,0.001093394
SCZ_20,0.001295181,0.013448834,0.005149929
SCZ_21,0.005885581,0.011270537,0.003363353
SCZ_22,0.012389608,0.00424879,0.009475693
SCZ_23,0.001563973,0.006574533,0.009701946
SCZ_24,0.008611608,0.002153075,0.005907018
SCZ_25,0.002625707,8.65E-05,0.010899921
SCZ_26,0.001607038,-0.001894976,0.004143446
SCZ_27,0.002696065,-0.005388715,0.002925701
SCZ_28,0.009747382,-0.005534466,0.009856337
SCZ_29,0.002648341,-0.002652584,0.00466739
SCZ_30,0.004536057,-0.010974248,0.023850867
SCZ_31,-9.15E-06,-0.000644386,0.005968086
SCZ_32,0.003466126,0.004808788,0.011644404
SCZ_33,0.003637191,-0.004635525,0.020759118
SCZ_34,0.002874932,0.005918637,-0.005018302
SCZ_35,0.002404482,0.013018305,-0.005783881
SCZ_36,0.009841261,0.012726927,-0.007945605
SCZ_37,0.008669813,0.009020658,-0.005200636
SCZ_38,0.008846502,0.016474949,-0.005351263
SCZ_39,0.004122028,0.00742863,-0.009173458
SCZ_40,0.007540922,0.015958906,-0.005423252
SCZ_41,0.006007264,0.011864551,-0.002188664
SCZ_42,0.011435583,0.006945538,0.000989985
SCZ_43,0.00536868,0.012868415,-0.000462581
OCI_1,0.000355434,0.019456566,-0.000135388
OCI_2,-0.006134706,0.029739426,0.003833556
OCI_3,-0.014022666,0.033942993,0.011561874
OCI_4,-0.007371963,0.030600086,0.000663217
OCI_5,-0.010814922,0.030150996,0.006976265
OCI_6,0.006773412,0.039836145,0.003099558
OCI_7,0.000918216,0.025280811,-0.003104175
OCI_8,-0.011617502,0.038375766,0.002658272
OCI_9,-0.00946548,0.029021795,0.012564511
OCI_10,-0.009433988,0.03729141,-0.003025043
OCI_11,-0.010374285,0.039246104,0.001108362
OCI_12,0.002524613,0.045363248,0.000809872
OCI_13,-0.003142902,0.023689474,0.004255348
OCI_14,-0.01205273,0.035961454,0.002644966
OCI_15,-0.015547689,0.033259729,0.010846511
OCI_16,-0.009164903,0.03385431,-0.002084787
OCI_17,-0.010415878,0.033123587,0.002096051
OCI_18,0.005543451,0.04504353,-0.002154258
EAT_1,-0.003809791,0.028020452,0.004319625
EAT_2,-0.00157811,0.02591412,-0.002724268
EAT_3,-0.002158322,0.029809042,0.004689754
EAT_4,-0.000677099,0.034764635,-0.000673298
EAT_5,-0.00530567,0.011529,-6.10E-05
EAT_6,-0.008275495,0.012627619,0.001118321
EAT_7,-0.009645669,0.019329764,1.12E-06
EAT_8,-0.005760241,0.019377353,7.61E-05
EAT_9,-0.002839926,0.028928866,-0.007538018
EAT_10,-0.001040645,0.033409846,0.004351153
EAT_11,-0.004277119,0.033033592,0.005321138
EAT_12,-0.006547257,0.023310642,0.001876804
EAT_13,-0.003722921,0.012303928,0.000355765
EAT_14,-0.005012223,0.035725942,0.005038133
EAT_15,-0.003187631,0.012921792,0.002277158
EAT_16,-0.008341774,0.014628616,3.21E-05
EAT_17,-0.005881713,0.018570947,-0.000654337
EAT_18,-0.002657786,0.029011633,0.006405308
EAT_19,-0.008551722,-0.001363905,0.00252709
EAT_20,-0.004546525,0.023143791,0.001108256
EAT_21,-0.004676046,0.031135953,0.007756246
EAT_22,-0.005969343,0.02516271,0.004648876
EAT_23,-0.010768216,0.026576319,0.002789159
EAT_24,-0.002289258,0.023313054,-0.002455331
EAT_25,-0.002318642,0.028572312,-0.004139935
EAT_26,-0.000888333,-0.003187547,0.006225477
AES_1,0.024683719,-0.005968887,0.001494459
AES_2,0.030778973,-0.008862492,-0.005130756
AES_3,0.01576169,-0.0089844,-0.00350308
AES_4,0.008905884,-0.011663579,0.012863088
AES_5,0.008554478,-0.006482955,0.005249392
AES_6,0.017483057,0.001679119,-0.007773974
AES_7,0.027123062,-0.023941746,0.009750197
AES_8,0.020643951,-0.002415119,-0.006907068
AES_9,0.017628277,-0.006670383,0.000974789
AES_10,0.005399018,0.015756198,-0.007989397
AES_11,0.008398678,0.007975212,-0.010470272
AES_12,0.017354618,-0.013091677,0.014980825
AES_13,0.009824293,-0.011366919,0.015927401
AES_14,0.015420034,-0.009970457,0.001343593
AES_15,0.012895858,0.000124507,-0.000343698
AES_16,0.024372482,-0.009758928,-0.007313915
AES_17,0.044096327,-0.021375167,0.001553828
AES_18,0.050243445,-0.024514338,0.000778747
AUDIT_1,0.003096062,0.009383646,-0.01378944
AUDIT_2,0.007718648,0.014763647,-0.017039295
AUDIT_3,0.007139128,0.016327056,-0.019875569
AUDIT_4,0.005259078,0.018392768,-0.01416908
AUDIT_5,0.003953966,0.019992114,-0.014552582
AUDIT_6,0.001399309,0.020606663,-0.011032825
AUDIT_7,0.003320919,0.023120131,-0.01407088
AUDIT_8,0.00508494,0.020340013,-0.017010714
AUDIT_9,0.002925993,0.015488276,-0.009963764
AUDIT_10,0.005670258,0.011576352,-0.01029837
SDS_1,0.0333164,0.006816142,0.000582933
SDS_2,0.009983018,-0.004898044,-0.003788629
SDS_3,0.013324141,0.019626127,-0.004212022
SDS_4,0.008817597,0.009259573,0.000844357
SDS_5,0.000280878,0.004416172,0.000605173
SDS_6,0.008651716,-0.00483559,0.010005245
SDS_7,-0.004246417,0.014179554,-0.003991721
SDS_8,-0.000915699,0.015703869,0.002583457
SDS_9,0.003836359,0.020093117,0.000501767
SDS_10,0.015251096,0.017700623,8.65E-05
SDS_11,0.01873897,0.004044982,-1.97E-05
SDS_12,0.025994253,-0.002842899,-0.000572244
SDS_13,0.01012507,0.012410424,-0.001090649
SDS_14,0.037338023,-0.010614291,-0.001471415
SDS_15,0.015273321,0.0160877,-0.000467217
SDS_16,0.026175229,-0.002753638,0.004135767
SDS_17,0.049114105,-0.008376175,-0.002092534
SDS_18,0.043342914,-0.011067323,-0.004701342
SDS_19,0.015260314,0.014869973,-0.003623649
SDS_20,0.032494723,-0.002042369,0.002662937
STAI_1,0.047359025,-0.01037057,0.002209442
STAI_2,0.016526306,0.020100523,0.013558778
STAI_3,0.054374859,-0.014942098,5.78E-05
STAI_4,0.020966575,0.008340157,0.00781569
STAI_5,0.046426907,0.005169449,0.002973061
STAI_6,0.016068577,0.002035339,0.001616965
STAI_7,0.024829846,-0.002751896,0.005910189
STAI_8,0.028395636,0.011812708,0.001994141
STAI_9,0.007447245,0.02154216,0.010883201
STAI_10,0.065125469,-0.018560472,0.000813413
STAI_11,0.013634878,0.029986219,-0.003376674
STAI_12,0.025724596,0.000266726,0.024056779
STAI_13,0.042029629,-0.008311531,0.002854028
STAI_14,0.020913035,-0.007750593,0.01084212
STAI_15,0.038526467,0.008612391,0.011427781
STAI_16,0.04880221,-0.012833627,-0.002514617
STAI_17,0.007683599,0.030343466,0.004012059
STAI_18,0.010806079,0.022286057,0.012141443
STAI_19,0.033212654,-0.000523681,-0.001920614
STAI_20,0.018632876,0.021986603,0.006092027
BIS_1,0.020198371,-0.001336782,-0.018974562
BIS_2,0.011203356,0.017671064,-0.017586328
BIS_3,-0.009346987,0.0112424,-0.011196949
BIS_4,-0.019247032,0.013517949,-0.012111055
BIS_5,0.013083139,0.008347791,-0.009615633
BIS_6,0.009125254,0.030185958,-0.004433027
BIS_7,0.014231827,-0.000394906,-0.014962109
BIS_8,0.020245187,0.006131169,-0.012136252
BIS_9,0.021155157,0.005603237,-0.00788213
BIS_10,0.016527095,-0.000131385,-0.009220767
BIS_11,0.001341412,0.011052029,0.002831037
BIS_12,0.01600262,-0.000932412,-0.011664437
BIS_13,0.023263879,-0.008685367,-0.008871972
BIS_14,0.007336176,0.020777505,-0.013250072
BIS_15,0.004798854,-0.005517251,0.00168235
BIS_16,0.006612402,0.010769876,-0.00831926
BIS_17,0.009214871,0.01812142,-0.01638953
BIS_18,0.003379475,0.008165152,-0.000808707
BIS_19,0.006309866,0.016330282,-0.017205541
BIS_20,0.015146494,0.001293419,-0.006552196
BIS_21,0.003590242,0.010446351,-0.008252385
BIS_22,0.006711379,0.016969199,-0.010355763
BIS_23,0.000102624,0.001506351,0.005994023
BIS_24,0.003306156,0.010344519,-0.0033273
BIS_25,0.012445224,0.014207373,-0.011547572
BIS_26,0.008553261,0.019951954,-0.001722417
BIS_27,0.001270367,0.002802665,-0.00414816
BIS_28,0.002036807,0.013062554,0.001037022
BIS_29,0.004777755,-0.000812631,-0.003443556
BIS_30,0.017184318,-0.008992552,-0.006368635
LSAS_1,-0.001107592,0.007788042,0.018239975
LSAS_2,0.000495134,-0.005672411,0.064127007
LSAS_3,-0.002444418,0.014267799,0.016207096
LSAS_4,-0.002445379,0.004567748,0.020072493
LSAS_5,0.003409547,0.002043937,0.038969249
LSAS_6,-0.003047336,-0.00953766,0.044254077
LSAS_7,0.003887694,-0.011465059,0.073346265
LSAS_8,-0.002399895,0.002960743,0.049942996
LSAS_9,-0.003668103,0.004556378,0.038706915
LSAS_10,-0.000175509,-0.000126472,0.055004839
LSAS_11,-0.00406925,0.000591826,0.087977121
LSAS_12,-0.005939986,-0.002290838,0.096551771
LSAS_13,-0.00569837,0.00920828,0.018512232
LSAS_14,-0.008116956,0.009649567,0.047053916
LSAS_15,-0.003968662,-0.015949053,0.083480366
LSAS_16,-0.005960438,-0.007235601,0.079970035
LSAS_17,-0.002940845,0.011142535,0.02217049
LSAS_18,-0.005583542,0.002256132,0.051326232
LSAS_19,-0.001579806,0.003845251,0.043959405
LSAS_20,-0.003326952,-0.009763867,0.053552074
LSAS_21,0.003638144,-0.00901181,0.041056935
LSAS_22,-0.002609871,0.009689003,0.03353251
LSAS_23,0.000524603,-0.006699141,0.049583883
LSAS_24,-0.003075833,0.004152952,0.034156202